node,gmt_create,predict_type,exec_time_seconds_trace,prompt_length_trace,num_inference_steps_trace,num_lora_trace,e_loc_assumed_mapped,e_tx_assumed_mapped,equilibrium_strategy,social_optimum_strategy
0,2024-12-06 00:00:03,TXT_2_IMG,25.0,67.0,30.0,0,2.9,0.284,1,1
1,2024-12-06 00:00:08,TXT_2_IMG,14.0,65.0,30.0,0,1.8000000000000003,0.28,1,0
2,2024-12-06 00:00:13,TXT_2_IMG,24.0,54.0,30.0,0,2.8,0.258,1,1
3,2024-12-06 00:00:41,TXT_2_IMG,35.0,31.0,40.0,0,3.9,0.212,1,1
4,2024-12-06 00:00:44,TXT_2_IMG,26.0,76.0,30.0,1,3.0,0.302,1,1
5,2024-12-06 00:00:48,TXT_2_IMG,22.0,61.0,30.0,0,2.6,0.272,1,1
6,2024-12-06 00:02:17,TXT_2_IMG,48.0,35.0,40.0,0,5.2,0.21999999999999997,1,1
7,2024-12-06 00:03:42,TXT_2_IMG,38.0,63.0,30.0,0,4.2,0.276,1,1
8,2024-12-06 00:03:49,TXT_2_IMG,28.0,76.0,30.0,0,3.2,0.302,1,1
9,2024-12-06 00:04:23,TXT_2_IMG,39.0,37.0,40.0,0,4.3,0.22399999999999998,1,1
10,2024-12-06 00:04:58,TXT_2_IMG,16.0,74.0,30.0,0,2.0,0.298,1,1
11,2024-12-06 00:05:00,TXT_2_IMG,38.0,75.0,30.0,0,4.2,0.3,1,1
12,2024-12-06 00:05:53,TXT_2_IMG,28.0,21.0,40.0,0,3.2,0.192,1,1
13,2024-12-06 00:07:00,TXT_2_IMG,30.0,76.0,30.0,0,3.4,0.302,1,1
14,2024-12-06 00:07:58,TXT_2_IMG,20.0,73.0,30.0,0,2.4,0.296,1,1
15,2024-12-06 00:08:40,TXT_2_IMG,75.0,40.0,30.0,1,7.900000000000001,0.22999999999999998,1,1
16,2024-12-06 00:09:29,IMG_2_IMG,23.0,25.0,30.0,1,2.6999999999999997,0.19999999999999998,1,1
17,2024-12-06 00:09:35,TXT_2_IMG,23.0,44.0,30.0,0,2.6999999999999997,0.238,1,1
18,2024-12-06 00:11:44,TXT_2_IMG,21.0,66.0,30.0,0,2.5,0.28200000000000003,1,1
19,2024-12-06 00:11:57,TXT_2_IMG,17.0,18.0,30.0,0,2.1,0.186,1,1
20,2024-12-06 00:12:20,TXT_2_IMG,27.0,162.0,30.0,0,3.1,0.375,1,1
21,2024-12-06 00:12:42,TXT_2_IMG,14.0,62.0,30.0,0,1.8000000000000003,0.274,1,0
22,2024-12-06 00:13:42,TXT_2_IMG,11.0,52.0,30.0,0,1.5,0.254,0,0
23,2024-12-06 00:13:53,TXT_2_IMG,54.0,75.0,30.0,0,5.800000000000001,0.3,1,1
24,2024-12-06 00:13:57,TXT_2_IMG,17.0,51.0,30.0,0,2.1,0.252,1,1
25,2024-12-06 00:15:53,TXT_2_IMG,21.0,51.0,30.0,0,2.5,0.252,1,1
26,2024-12-06 00:16:06,TXT_2_IMG,26.0,56.0,30.0,0,3.0,0.262,1,1
27,2024-12-06 00:16:27,TXT_2_IMG,26.0,45.0,30.0,0,3.0,0.24,1,1
28,2024-12-06 00:19:56,IMG_2_IMG,24.0,21.0,30.0,2,2.8,0.192,1,1
29,2024-12-06 00:23:06,TXT_2_IMG,18.0,52.0,30.0,0,2.2,0.254,1,1
30,2024-12-06 00:23:38,TXT_2_IMG,22.0,48.0,30.0,0,2.6,0.246,1,1
31,2024-12-06 00:25:00,TXT_2_IMG,22.0,60.0,30.0,0,2.6,0.27,1,1
32,2024-12-06 00:26:02,IMG_2_IMG,11.0,17.0,30.0,0,1.5,0.184,1,0
33,2024-12-06 00:26:44,TXT_2_IMG,67.0,67.0,30.0,1,7.1000000000000005,0.284,1,1
34,2024-12-06 00:26:46,TXT_2_IMG,25.0,47.0,30.0,0,2.9,0.244,1,1
35,2024-12-06 00:26:54,TXT_2_IMG,23.0,43.0,30.0,0,2.6999999999999997,0.236,1,1
36,2024-12-06 00:27:25,TXT_2_IMG,10.0,57.0,30.0,0,1.4,0.264,0,0
37,2024-12-06 00:27:54,IMG_2_IMG,12.0,10.0,37.0,0,1.6,0.16999999999999998,1,0
38,2024-12-06 00:27:57,TXT_2_IMG,21.0,62.0,30.0,0,2.5,0.274,1,1
39,2024-12-06 00:28:08,TXT_2_IMG,19.0,59.0,30.0,0,2.3000000000000003,0.268,1,1
40,2024-12-06 00:29:16,TXT_2_IMG,20.0,42.0,30.0,0,2.4,0.23399999999999999,1,1
41,2024-12-06 00:29:33,TXT_2_IMG,18.0,7.0,30.0,0,2.2,0.164,1,1
42,2024-12-06 00:30:07,TXT_2_IMG,17.0,55.0,30.0,0,2.1,0.26,1,1
43,2024-12-06 00:30:29,TXT_2_IMG,68.0,69.0,30.0,2,7.2,0.28800000000000003,1,1
44,2024-12-06 00:31:42,TXT_2_IMG,13.0,50.0,30.0,0,1.7000000000000002,0.25,0,0
45,2024-12-06 00:31:46,TXT_2_IMG,33.0,25.0,30.0,1,3.6999999999999997,0.19999999999999998,1,1
46,2024-12-06 00:35:33,TXT_2_IMG,14.0,53.0,30.0,0,1.8000000000000003,0.256,1,0
47,2024-12-06 00:37:23,TXT_2_IMG,36.0,14.0,30.0,0,4.0,0.178,1,1
48,2024-12-06 00:38:17,TXT_2_IMG,9.0,23.0,30.0,0,1.3,0.19599999999999998,0,0
49,2024-12-06 00:38:17,TXT_2_IMG,21.0,24.0,30.0,0,2.5,0.198,1,1
50,2024-12-06 00:38:18,TXT_2_IMG,11.0,22.0,30.0,0,1.5,0.194,0,0
51,2024-12-06 00:38:19,INPAINTING,41.0,4.0,30.0,0,4.5,0.158,1,1
52,2024-12-06 00:38:33,TXT_2_IMG,9.0,25.0,30.0,0,1.3,0.19999999999999998,0,0
53,2024-12-06 00:38:45,TXT_2_IMG,9.0,27.0,30.0,0,1.3,0.204,0,0
54,2024-12-06 00:38:49,TXT_2_IMG,14.0,23.0,30.0,0,1.8000000000000003,0.19599999999999998,1,1
55,2024-12-06 00:39:06,TXT_2_IMG,9.0,26.0,30.0,0,1.3,0.20199999999999999,0,0
56,2024-12-06 00:39:06,TXT_2_IMG,18.0,21.0,30.0,0,2.2,0.192,1,1
57,2024-12-06 00:39:11,TXT_2_IMG,10.0,16.0,30.0,0,1.4,0.182,0,0
58,2024-12-06 00:39:17,TXT_2_IMG,10.0,25.0,30.0,0,1.4,0.19999999999999998,0,0
59,2024-12-06 00:39:20,TXT_2_IMG,13.0,20.0,30.0,0,1.7000000000000002,0.19,1,0
60,2024-12-06 00:39:23,TXT_2_IMG,10.0,28.0,30.0,0,1.4,0.206,0,0
61,2024-12-06 00:39:23,TXT_2_IMG,10.0,27.0,30.0,0,1.4,0.204,0,0
62,2024-12-06 00:39:28,TXT_2_IMG,11.0,21.0,30.0,0,1.5,0.192,1,0
63,2024-12-06 00:39:29,TXT_2_IMG,10.0,19.0,30.0,0,1.4,0.188,0,0
64,2024-12-06 00:39:50,TXT_2_IMG,13.0,29.0,30.0,0,1.7000000000000002,0.208,1,0
65,2024-12-06 00:39:55,TXT_2_IMG,8.0,22.0,30.0,0,1.2,0.194,0,0
66,2024-12-06 00:39:56,TXT_2_IMG,10.0,23.0,30.0,0,1.4,0.19599999999999998,0,0
67,2024-12-06 00:40:04,TXT_2_IMG,11.0,24.0,30.0,0,1.5,0.198,1,0
68,2024-12-06 00:40:06,TXT_2_IMG,9.0,20.0,30.0,0,1.3,0.19,0,0
69,2024-12-06 00:40:12,TXT_2_IMG,9.0,31.0,30.0,0,1.3,0.212,0,0
70,2024-12-06 00:40:12,TXT_2_IMG,9.0,28.0,30.0,0,1.3,0.206,0,0
71,2024-12-06 00:40:23,TXT_2_IMG,50.0,69.0,30.0,1,5.4,0.28800000000000003,1,1
72,2024-12-06 00:40:24,TXT_2_IMG,9.0,24.0,30.0,0,1.3,0.198,0,0
73,2024-12-06 00:40:24,TXT_2_IMG,12.0,21.0,30.0,0,1.6,0.192,1,0
74,2024-12-06 00:40:26,TXT_2_IMG,10.0,33.0,30.0,0,1.4,0.216,0,0
75,2024-12-06 00:40:35,TXT_2_IMG,10.0,22.0,30.0,0,1.4,0.194,0,0
76,2024-12-06 00:40:35,TXT_2_IMG,10.0,21.0,30.0,0,1.4,0.192,0,0
77,2024-12-06 00:40:44,TXT_2_IMG,10.0,25.0,30.0,0,1.4,0.19999999999999998,0,0
78,2024-12-06 00:40:58,TXT_2_IMG,9.0,19.0,30.0,0,1.3,0.188,0,0
79,2024-12-06 00:41:04,TXT_2_IMG,12.0,33.0,30.0,0,1.6,0.216,1,0
80,2024-12-06 00:41:10,TXT_2_IMG,12.0,24.0,30.0,0,1.6,0.198,1,0
81,2024-12-06 00:41:41,TXT_2_IMG,11.0,32.0,30.0,0,1.5,0.214,1,0
82,2024-12-06 00:41:41,TXT_2_IMG,20.0,65.0,30.0,0,2.4,0.28,1,1
83,2024-12-06 00:42:39,INPAINTING,46.0,4.0,30.0,0,5.0,0.158,1,1
84,2024-12-06 00:45:50,TXT_2_IMG,15.0,57.0,30.0,0,1.9,0.264,1,1
85,2024-12-06 00:46:33,INPAINTING,26.0,4.0,30.0,0,3.0,0.158,1,1
86,2024-12-06 00:46:54,TXT_2_IMG,14.0,53.0,30.0,0,1.8000000000000003,0.256,1,0
87,2024-12-06 00:47:29,TXT_2_IMG,6.0,48.0,30.0,0,1.0,0.246,0,0
88,2024-12-06 00:47:59,TXT_2_IMG,27.0,61.0,30.0,0,3.1,0.272,1,1
89,2024-12-06 00:49:13,TXT_2_IMG,29.0,46.0,30.0,0,3.3000000000000003,0.242,1,1
90,2024-12-06 00:50:48,TXT_2_IMG,15.0,67.0,30.0,0,1.9,0.284,1,0
91,2024-12-06 00:54:09,IMG_2_IMG,22.0,41.0,40.0,0,2.6,0.23199999999999998,1,1
92,2024-12-06 00:55:17,IMG_2_IMG,26.0,41.0,40.0,0,3.0,0.23199999999999998,1,1
93,2024-12-06 00:55:22,TXT_2_IMG,21.0,57.0,30.0,0,2.5,0.264,1,1
94,2024-12-06 00:56:09,IMG_2_IMG,13.0,41.0,40.0,0,1.7000000000000002,0.23199999999999998,1,0
95,2024-12-06 00:57:06,TXT_2_IMG,56.0,17.0,30.0,1,6.000000000000001,0.184,1,1
96,2024-12-06 00:57:37,TXT_2_IMG,10.0,43.0,30.0,0,1.4,0.236,0,0
97,2024-12-06 00:58:14,TXT_2_IMG,21.0,52.0,30.0,0,2.5,0.254,1,1
98,2024-12-06 00:59:39,TXT_2_IMG,12.0,44.0,30.0,0,1.6,0.238,1,0
99,2024-12-06 00:59:55,TXT_2_IMG,53.0,61.0,30.0,0,5.700000000000001,0.272,1,1
